# cs_bulk[1/sigma^3]   excess_chemical_potential [kbT], bjerrum_length, error_excess_chemical_potential [kbT]
2.695417789760000057e-02 -6.786051331110901641e-01 2.000000000000000000e+00 4.096680856504751785e-03
8.523659461370000634e-03 -6.778713352384686530e-01 2.000000000000000000e+00 2.528253482558054550e-03
5.390835570000000396e-03 -6.066821105808116732e-01 2.000000000000000000e+00 nan
2.695417789759999884e-03 -5.084076926817865383e-01 2.000000000000000000e+00 1.731607405301558615e-03
2.695417779999999784e-03 -5.028771293206726334e-01 2.000000000000000000e+00 nan
1.347708889999999892e-03 -3.981817734253114138e-01 2.000000000000000000e+00 nan
8.523659461370000200e-04 -3.341485175032148924e-01 2.000000000000000000e+00 1.221915919554457169e-03
5.390835499999999591e-04 -2.772758605285048916e-01 2.000000000000000000e+00 nan
2.695417789760000101e-04 -2.094800149184466720e-01 2.000000000000000000e+00 8.745308349277121363e-04
2.695417699999999995e-04 -2.078750640373691339e-01 2.000000000000000000e+00 nan
8.523659461370000200e-05 -1.245166920634441926e-01 2.000000000000000000e+00 6.132157624428184782e-04
2.695417789760000169e-05 -7.195266495730805179e-02 2.000000000000000000e+00 4.375723598454102012e-04
8.523659461370000539e-06 -4.149086556267679582e-02 2.000000000000000000e+00 3.127319830679803304e-04
2.695417789759999999e-06 -1.755565482023885293e-02 2.000000000000000000e+00 2.233947067152423395e-04
8.523659461369999692e-07 -2.319503605235288205e-03 2.000000000000000000e+00 1.709198999887526389e-04
2.695417789760000145e-08 -1.059533264599411861e-04 2.000000000000000000e+00 9.649862504299725220e-06
8.523659461370000089e-09 -7.461522528178108021e-05 2.000000000000000000e+00 7.489556476372412779e-06
2.695417789759999814e-09 -4.525773552677612684e-05 2.000000000000000000e+00 3.051189520916646138e-06

